Time,Species,Temperature,Height,Condition
14:03,Fence,33.2,0.0,Overcast
15:15,Fence,30.2,2.0,Overcast
14:07,Fence,31.6,5.0,Overcast
13:53,Fence,37.4,0.0,Overcast
13:53,Fence,35.2,0.0,Overcast
14:03,Fence,36.2,0.0,Overcast
14:08,Fence,35.6,0.0,Overcast
14:50,Fence,31.2,19.0,Overcast
14:02,Fence,35.6,0.0,Overcast
14:50,Side-Blotched,31.6,0.0,Overcast
14:10,Fence,34.4,0.0,Overcast
14:55,Side-Blotched,32.6,10.0,Overcast
14:12,Fence,34.0,0.0,Overcast
14:59,Side-Blotched,32.8,18.0,Overcast
14:20,Side-Blotched,33.0,0.0,Overcast
15:01,Side-Blotched,33.4,5.0,Overcast
14:21,Fence,32.2,0.0,Overcast
15:03,Side-Blotched,32.2,10.0,Overcast
15:22,Side-Blotched,32.2,5.0,Overcast
13:53,Side-Blotched,35.2,0.0,Overcast
13:56,Side-Blotched,36.2,0.0,Overcast
14:04,Side-Blotched,31.4,0.0,Overcast
14:20,Side-Blotched,33.8,16.0,Overcast
14:32,Fence,29.6,11.0,Overcast
14:33,Fence,27.8,102.0,Overcast
14:34,Fence,28.0,67.0,Overcast
14:41,Side-Blotched,34.4,0.0,Overcast
14:45,Fence,30.8,90.0,Overcast
14:51,Fence,32.6,0.0,Overcast
14:55,Fence,31.4,14.0,Overcast
14:58,Fence,32.0,12.0,Overcast
14:16,Side-Blotched,55.6,0.0,Sun
14:18,Side-Blotched,50.0,0.0,Sun
14:19,Side-Blotched,40.0,0.0,Sun
14:28,Side-Blotched,22.0,22.0,Sun
13:45,Side-Blotched,33.6,0.0,Overcast
13:52,Fence,34.8,30.0,Overcast
13:52,Side-Blotched,33.2,30.0,Overcast
15:03,Fence,28.2,0.0,Overcast
13:45,Side-Blotched,35.8,0.0,Overcast
13:53,Side-Blotched,41.6,0.0,Overcast
14:14,Fence,33.6,20.0,Overcast
14:19,Side-Blotched,35.2,0.0,Overcast
14:29,Side-Blotched,33.8,0.0,Overcast
14:32,Side-Blotched,31.6,6.0,Overcast
14:41,Side-Blotched,31.8,0.0,Overcast
15:04,Side-Blotched,33.0,0.0,Overcast
15:18,Side-Blotched,32.2,0.0,Overcast
15:35,Side-Blotched,49.0,0.0,Sun
15:48,Fence,43.8,0.0,Sun
16:26,Fence,41.6,0.0,Sun
16:32,Fence,31.2,0.0,Sun
16:35,Side-Blotched,33.2,0.0,Shade
16:39,Fence,30.8,0.0,Sun
16:41,Fence,33.6,0.0,Shade
14:50,Fence,32.0,0.0,Overcast
13:43,Fence,28.2,0.0,Sun
13:50,Fence,55.2,0.0,Sun
14:13,Fence,58.4,0.0,Sun
14:15,Fence,58.4,0.0,Sun
14:19,Fence,38.4,0.0,Sun
14:23,Fence,,0.0,Sun
14:25,Side-Blotched,41.0,20.0,Sun
14:08,Fence,32.2,0.0,Overcast
14:10,Side-Blotched,32.8,0.0,Overcast
14:14,Fence,31.2,0.0,Overcast
14:29,Fence,29.6,0.0,Overcast
14:41,Fence,29.8,0.0,Overcast
14:48,Fence,30.8,0.0,Overcast
14:53,Fence,30.8,0.0,Overcast
14:55,Side-Blotched,29.8,0.0,Overcast
21:20,Fence,24.4,0.0,Shade
21:46,Fence,35.6,0.0,Sun
22:17,Side-Blotched,32.8,0.0,Sun
13:52,Side-Blotched,38.4,25.0,Sun
14:23,Side-Blotched,42.4,11.0,Sun
14:07,Side-Blotched,33.0,0.0,Overcast
13:50,Side-Blotched,32.5,0.0,Overcast
13:05,Side-Blotched,29.2,40.0,Shade
13:58,Fence,32.0,0.0,Overcast
14:06,Fence,31.4,0.0,Overcast
14:13,Side-Blotched,34.0,0.0,Overcast
14:16,Fence,21.4,0.0,Overcast
14:20,Side-Blotched,31.8,0.0,Overcast
14:40,Fence,33.6,16.0,Overcast
14:43,Fence,32.4,0.0,Overcast
14:47,Fence,33.4,0.0,Overcast
14:59,Side-Blotched,32.2,23.0,Overcast
15:01,Side-Blotched,32.6,20.0,Overcast
15:10,Side-Blotched,29.8,0.0,Overcast
15:15,Side-Blotched,32.6,0.0,Overcast
13:41,Fence,36.0,0.0,Sun
13:47,Side-Blotched,36.6,0.0,Sun
13:51,Side-Blotched,35.8,0.0,Shade
13:56,Fence,30.2,0.0,Sun
13:59,Side-Blotched,35.6,0.0,Sun
14:07,Fence,32.2,0.0,Sun
14:08,Fence,36.0,0.0,Sun
14:14,Side-Blotched,33.2,0.0,Sun
13:46,Fence,26.0,0.0,Sun
13:50,Fence,34.8,0.0,Sun
13:53,Fence,30.8,1.19,Sun
13:56,Side-Blotched,28.4,0.0,Sun
14:00,Fence,38.4,0.0,Sun
14:02,Fence,37.2,0.0,Sun
14:04,Fence,38.8,0.0,Sun
14:07,Fence,38.6,0.0,Sun
14:10,Side-Blotched,26.8,0.0,Sun
14:11,Fence,38.0,0.0,Sun
14:19,Side-Blotched,25.6,0.0,Sun
14:24,Fence,29.8,0.0,Sun
14:28,Side-Blotched,32.0,0.0,Sun
14:36,Fence,34.0,0.0,Sun
14:37,Fence,36.0,0.7,Sun
14:50,Fence,37.6,0.0,Sun
13:39,Side-Blotched,36.4,0.0,Sun
13:42,Side-Blotched,32.2,0.0,Sun
13:44,Side-Blotched,36.8,0.0,Sun
13:48,Side-Blotched,27.3,0.0,Sun
13:50,Fence,30.8,27.0,Sun
13:52,Fence,37.4,66.0,Sun
13:52,Side-Blotched,45.2,0.0,Sun
13:52,Side-Blotched,39.8,0.0,Sun
13:52,Side-Blotched,38.4,0.0,Sun
13:57,Side-Blotched,35.2,16.0,Sun
13:57,Side-Blotched,42.6,2.0,Sun
14:02,Side-Blotched,53.8,14.0,Sun
14:04,Side-Blotched,42.6,26.0,Sun
14:06,Side-Blotched,29.4,0.0,Sun
14:09,Side-Blotched,35.2,0.0,Sun
14:12,Fence,31.0,29.0,Sun
14:20,Side-Blotched,30.4,0.0,Sun
14:23,Side-Blotched,36.6,0.0,Sun
14:24,Side-Blotched,32.4,0.0,Sun
14:25,Side-Blotched,25.4,6.0,Sun
14:29,Side-Blotched,25.6,0.0,Shade
14:32,Side-Blotched,35.2,9.0,Sun
14:35,Side-Blotched,43.6,0.0,Sun
14:37,Side-Blotched,33.8,0.0,Sun
14:40,Fence,26.8,0.0,Sun
14:42,Side-Blotched,44.2,0.0,Sun
14:52,Fence,35.8,33.0,Sun
14:56,Side-Blotched,39.6,19.0,Sun
14:58,Side-Blotched,34.8,17.0,Sun
14:59,Fence,31.2,0.0,Sun
15:00,Fence,33.4,11.0,Shade
15:02,Side-Blotched,39.4,35.0,Sun
15:06,Side-Blotched,34.2,0.0,Sun
15:08,Side-Blotched,40.8,0.0,Sun
15:09,Side-Blotched,34.6,0.0,Sun
15:10,Side-Blotched,31.6,0.0,Sun
15:13,Side-Blotched,33.2,0.0,Sun
14:50,Fence,25.2,2.0,Sun
15:01,Fence,36.0,40.0,Sun
15:03,Fence,34.0,40.0,Shade
15:06,Fence,34.0,30.0,Sun
15:13,Fence,24.0,330.0,Shade
14:20,Side-Blotched,17.8,0.0,Overcast
14:21,Side-Blotched,18.2,0.0,Overcast
14:53,Side-Blotched,33.2,0.0,Sun
13:40,Side-Blotched,31.6,3.0,Sun
13:42,Side-Blotched,38.6,16.0,Sun
13:45,Side-Blotched,31.8,18.0,Sun
13:48,Side-Blotched,37.8,20.0,Sun
13:51,Side-Blotched,24.0,0.0,Sun
13:53,Side-Blotched,32.2,0.0,Sun
13:53,Side-Blotched,33.2,0.0,Sun
13:54,Side-Blotched,31.6,0.0,Sun
13:56,Fence,35.2,5.0,Sun
14:00,Fence,51.8,12.0,Sun
14:05,Fence,32.2,0.0,Sun
14:07,Side-Blotched,39.2,13.0,Sun
14:07,Fence,27.2,8.0,Sun
14:12,Side-Blotched,31.4,2.0,Sun
14:15,Side-Blotched,31.8,4.0,Sun
14:18,Side-Blotched,37.2,11.0,Sun
14:20,Side-Blotched,38.8,18.0,Sun
14:23,Side-Blotched,35.6,10.0,Sun
14:25,Side-Blotched,37.4,22.0,Sun
14:28,Fence,37.4,10.0,Sun
14:31,Side-Blotched,38.4,0.0,Sun
14:31,Side-Blotched,34.0,0.0,Sun
14:32,Fence,32.4,4.0,Sun
14:36,Fence,31.6,32.0,Sun
14:38,Side-Blotched,36.2,0.0,Sun
14:42,Side-Blotched,32.4,0.0,Sun
14:44,Fence,34.4,0.0,Sun
14:47,Side-Blotched,34.2,0.0,Sun
14:58,Side-Blotched,31.4,0.0,Sun
15:00,Side-Blotched,34.2,0.0,Sun
15:30,Side-Blotched,28.3,0.0,Sun
13:49,Side-Blotched,35.2,8.0,Shade
15:30,Fence,36.8,27.0,Shade
15:31,Fence,34.2,38.0,Shade
13:30,Fence,35.0,42.0,Shade
13:45,Fence,31.2,63.0,Shade
13:32,Fence,37.0,33.0,Shade
13:35,Fence,31.0,33.0,Shade
14:13,Fence,33.8,56.0,Shade
14:25,Fence,31.8,100.0,Shade
14:25,Fence,31.8,500.0,Shade
14:10,Side-Blotched,40.4,8.0,Sun
14:26,Fence,42.0,28.0,Shade
15:09,Fence,36.6,18.0,Sun
13:56,Fence,38.4,2.0,Shade
14:48,Side-Blotched,38.0,3.0,Shade
14:02,Side-Blotched,52.0,12.0,Sun
14:12,Fence,40.2,13.0,Shade
14:30,Fence,35.8,20.0,Sun
14:25,Fence,30.4,4.0,Shade
14:13,Side-Blotched,34.8,13.0,Shade
13:56,Fence,30.2,7.0,Shade
14:11,Side-Blotched,32.4,0.0,Sun
14:35,Side-Blotched,54.0,6.0,Sun
14:07,Fence,42.0,0.0,Shade
14:27,Side-Blotched,38.0,18.0,Sun
14:53,Fence,30.8,28.0,Shade
15:02,Side-Blotched,41.0,25.0,Shade
15:08,Side-Blotched,38.8,19.0,Shade
15:13,Side-Blotched,49.8,34.0,Sun
14:36,Side-Blotched,46.4,42.0,Sun
14:38,Fence,30.8,33.0,Sun
13:35,Fence,34.4,15.0,Shade
13:37,Fence,35.0,14.0,Overcast
13:43,Fence,35.0,64.0,Overcast
13:46,Side-Blotched,34.0,54.0,Overcast
14:04,Fence,41.4,9.0,Sun
14:06,Fence,32.0,0.0,Overcast
14:12,Fence,44.0,0.0,Sun
13:50,Side-Blotched,54.6,0.0,Sun
14:05,Fence,34.8,150.0,Shade
14:15,Fence,34.4,70.0,Shade
14:50,Fence,39.6,0.0,Shade
15:13,Fence,33.2,170.0,Shade
13:43,Fence,35.6,0.0,Shade
13:48,Fence,41.0,0.0,Shade
13:58,Fence,33.6,88.0,Shade
14:02,Fence,37.6,54.0,Shade
14:03,Fence,39.8,120.0,Shade
14:38,Fence,32.8,140.0,Shade
14:38,Fence,33.6,252.0,Shade
15:08,Fence,38.4,0.0,Shade
15:08,Fence,42.0,140.0,Shade
13:56,Fence,28.6,256.0,Shade
14:10,Side-Blotched,40.4,7.0,Sun
14:26,Fence,42.0,28.0,Shade
14:34,Side-Blotched,42.8,0.0,Shade
13:38,Fence,33.4,60.0,Shade
13:38,Fence,33.4,45.0,Shade
13:51,Side-Blotched,32.6,0.0,Shade
13:59,Fence,32.0,180.0,Shade
14:07,Fence,34.4,214.0,Shade
14:24,Side-Blotched,43.0,47.0,Shade
14:30,Fence,35.4,140.0,Shade
14:55,Fence,33.2,188.0,Shade
14:15,Side-Blotched,34.8,13.0,Shade
13:44,Side-Blotched,38.0,15.0,Sun
13:52,Fence,31.0,28.0,Shade
14:04,Side-Blotched,35.0,9.0,Shade
14:17,Side-Blotched,40.0,16.5,Sun
15:30,Side-Blotched,32.8,0.0,Shade
13:37,Fence,31.0,0.0,Shade
13:41,Side-Blotched,36.8,5.0,Shade
13:52,Fence,33.0,216.0,Shade
13:56,Fence,34.0,86.0,Shade
14:02,Side-Blotched,36.0,100.0,Shade
14:07,Fence,33.8,189.0,Shade
14:28,Fence,39.0,52.0,Shade
14:43,Fence,35.0,428.0,Shade
14:43,Fence,34.0,428.0,Shade
14:44,Fence,34.0,20.0,Shade
15:10,Fence,26.0,0.0,Shade
15:27,Side-Blotched,40.0,10.0,Sun
14:35,Side-Blotched,45.0,0.0,Sun
15:12,Fence,35.0,60.0,Shade
13:46,Fence,56.6,10.0,Shade
14:52,Side-Blotched,36.2,10.0,Shade
15:14,Fence,29.8,20.0,Shade
14:00,Fence,45.0,10.0,Sun
13:58,Fence,43.0,0.0,Sun
14:15,Side-Blotched,41.0,12.0,Shade
14:15,Fence,34.0,300.0,Shade
13:29,Side-Blotched,27.8,0.0,Shade
13:32,Fence,36.2,13.0,Shade
13:34,Fence,35.4,290.0,Shade
13:37,Side-Blotched,59.4,0.0,Shade
13:40,Side-Blotched,47.0,10.0,Sun
13:43,Fence,43.6,35.0,Sun
13:59,Fence,39.8,3.0,Shade
14:02,Fence,42.8,213.0,Shade
14:12,Fence,50.0,0.0,Shade
14:16,Side-Blotched,52.4,3.0,Sun
14:17,Fence,36.2,0.0,Shade
14:18,Fence,46.8,0.0,Shade
14:30,Fence,30.0,0.0,Shade
13:35,Fence,30.8,5.0,Shade
14:30,Fence,40.8,100.0,Shade
14:50,Side-Blotched,23.5,3.0,Shade
15:03,Fence,20.3,5.0,Shade
15:15,Side-Blotched,39.8,10.0,Shade
15:18,Fence,30.4,30.0,Shade
15:30,Side-Blotched,39.8,15.0,Sun
13:48,Side-Blotched,51.6,0.0,Shade
13:51,Side-Blotched,51.2,0.0,Sun
13:43,Side-Blotched,39.8,5.0,Shade
14:35,Fence,42.0,0.0,Shade
13:45,Side-Blotched,40.5,0.0,Shade
13:50,Side-Blotched,44.4,0.0,Shade
13:52,Side-Blotched,34.4,0.0,Shade
13:55,Side-Blotched,49.8,0.0,Shade
14:00,Side-Blotched,42.8,0.0,Shade
14:05,Fence,38.4,42.5,Shade
14:05,Fence,36.4,60.0,Shade
14:30,Fence,34.0,140.0,Shade
14:35,Fence,33.8,150.0,Shade
14:38,Fence,36.4,150.0,Shade
14:38,Fence,33.6,55.0,Shade
14:40,Fence,36.4,207.0,Shade
14:44,Side-Blotched,46.6,0.0,Shade
14:50,Fence,33.2,80.0,Shade
15:08,Side-Blotched,39.0,0.0,Shade
13:32,Side-Blotched,33.4,34.0,Sun
13:45,Fence,40.8,0.0,Sun
13:45,Fence,44.8,0.0,Sun
13:50,Fence,43.4,0.0,Sun
13:52,Fence,17.6,17.0,Shade
14:07,Side-Blotched,47.6,16.0,Sun
14:24,Side-Blotched,43.4,7.0,Shade
14:32,Fence,38.8,7.0,Sun
15:06,Fence,32.2,5.0,Shade
13:53,Fence,47.8,0.0,Sun
14:12,Fence,37.6,6.0,Shade
14:22,Fence,47.8,0.0,Sun
14:40,Side-Blotched,34.0,29.0,Shade
14:43,Fence,23.6,0.0,Shade
14:46,Fence,38.6,21.0,Shade
14:49,Fence,38.6,8.0,Shade
14:50,Fence,38.6,8.0,Shade
15:01,Fence,32.6,50.0,Shade
13:32,Fence,33.8,167.0,Shade
13:52,Fence,38.0,14.0,Shade
14:13,Fence,33.0,17.0,Shade
14:30,Fence,32.0,13.0,Shade
14:48,Fence,43.0,0.0,Shade
13:20,Fence,38.0,30.0,Shade
